cadastre_code,dvf_commune_code,commune_name,transaction_count,average_price,median_price,average_surface,average_price_per_sqm
94001,1,ABLON-SUR-SEINE,61,258821.66,193220.0,84.21,3073.41
94002,2,ALFORTVILLE,480,314675.52,256750.0,60.45,5205.55
94003,3,ARCUEIL,214,375101.64,299500.0,62.71,5981.95
94004,4,BOISSY-SAINT-LEGER,149,262388.2,195000.0,74.99,3498.82
94011,11,BONNEUIL-SUR-MARNE,73,294846.97,250000.0,74.44,3960.95
94015,15,BRY-SUR-MARNE,256,439374.86,349000.0,77.95,5636.96
94016,16,CACHAN,295,333208.34,289000.0,64.86,5137.27
94017,17,CHAMPIGNY-SUR-MARNE,679,328621.29,271400.0,72.74,4517.89
94018,18,CHARENTON-LE-PONT,409,478728.58,404400.0,61.74,7754.15
94019,19,CHENNEVIERES SUR MARNE,282,295693.84,210300.0,73.74,4009.89
94021,21,CHEVILLY-LARUE,167,350057.66,225000.0,75.77,4619.85
94022,22,CHOISY-LE-ROI,505,241966.3,200000.0,59.09,4095.08
94028,28,CRETEIL,689,288694.12,224000.0,68.19,4233.93
94033,33,FONTENAY-SOUS-BOIS,691,437170.35,302000.0,67.17,6508.48
94034,34,FRESNES,292,247737.94,202372.5,70.26,3525.83
94037,37,GENTILLY,173,339274.79,270000.0,58.86,5764.54
94041,41,IVRY-SUR-SEINE,599,272384.99,215000.0,53.9,5053.23
94042,42,JOINVILLE-LE-PONT,257,417528.76,330000.0,68.81,6067.57
94038,38,L'HAY-LES-ROSES,303,345506.74,289000.0,76.5,4516.72
94060,60,LA QUEUE-EN-BRIE,104,372240.56,300500.0,100.17,3715.97
94043,43,LE KREMLIN-BICETRE,264,286475.86,240000.0,50.84,5634.33
94058,58,LE PERREUX-SUR-MARNE,549,408733.08,325000.0,67.26,6076.7
94059,59,LE PLESSIS-TREVISE,257,291040.75,244000.0,76.61,3798.75
94044,44,LIMEIL-BREVANNES,261,220998.43,187000.0,64.87,3406.8
94046,46,MAISONS-ALFORT,690,366248.41,308190.0,62.77,5835.08
94047,47,MANDRES-LES-ROSES,55,361991.91,365000.0,108.58,3333.82
94048,48,MAROLLES-EN-BRIE,65,386360.88,356000.0,117.46,3289.25
94052,52,NOGENT-SUR-MARNE,531,424589.12,367605.0,65.47,6485.35
94053,53,NOISEAU,45,284077.11,280000.0,76.47,3715.05
94054,54,ORLY,133,267432.2,225000.0,70.86,3774.24
94055,55,ORMESSON-SUR-MARNE,120,403116.97,390000.0,95.29,4230.35
94056,56,PERIGNY,32,393956.62,379950.0,118.69,3319.28
94065,65,RUNGIS,107,309874.95,266000.0,72.75,4259.59
94067,67,SAINT-MANDE,350,592502.34,475600.0,65.55,9038.35
94068,68,SAINT-MAUR-DES-FOSSES,1341,453630.34,365000.0,75.54,6005.18
94070,70,SANTENY,51,517004.39,468833.0,142.61,3625.36
94069,69,ST MAURICE,210,354762.83,275535.0,57.1,6212.49
94071,71,SUCY-EN-BRIE,273,357675.02,300000.0,91.91,3891.65
94073,73,THIAIS,329,302781.82,232500.0,72.43,4180.42
94074,74,VALENTON,53,330722.17,272000.0,82.58,4004.63
94075,75,VILLECRESNES,136,324461.36,322000.0,90.07,3602.18
94076,76,VILLEJUIF,484,314383.67,265500.0,59.66,5269.3
94077,77,VILLENEUVE-LE-ROI,175,272219.91,230000.0,66.11,4117.41
94078,78,VILLENEUVE-SAINT-GEORGES,211,264687.9,215100.0,71.57,3698.37
94079,79,VILLIERS-SUR-MARNE,391,299058.0,257500.0,71.72,4170.03
94080,80,VINCENNES,872,518406.54,425600.0,58.32,8889.18
94081,81,VITRY-SUR-SEINE,610,276663.67,223800.0,62.46,4429.52
